,end_time,start_time,rdsym_elec11,rdsym_elec12,rdsym_elec15,rdsym_elec18,rdsym_elec19,rdsym_elec22,rdsym_elec23,rdsym_elec24,rdsym_elec25,rdsym_elec26,rdsym_elec27,rdsym_elec33,rdsym_elec4,rdsym_elec40,rdsym_elec41,rdsym_elec13,rdsym_elec14,rdsym_elec20,rdsym_elec21,rdsym_elec28,rdsym_elec5,rdsym_elec6,rdsym_elec34,rdsym_elec7,rdsym_elec0,rdsym_elec1,rdsym_elec10,rdsym_elec16,rdsym_elec17,rdsym_elec2,rdsym_elec3,rdsym_elec8,rdsym_elec9,rdsym_elec29,rdsym_elec30,rdsym_elec31,rdsym_elec35,rdsym_elec36,rdsym_elec43,rdsym_elec44,rdsym_elec32,rdsym_elec37,rdsym_elec38,rdsym_elec39,rdsym_elec42,rdsym_elec45,rdsym_elec46,rdsym_elec47,rdsym_elec48,rdsym_elec49,rdsym_elec50,rdsym_elec51,rdsym_elec52,rdsym_elec53,rdsym_elec54,rdsym_elec55,rdsym_elec56,rdsym_elec57
82,340999.0,336479.0,0.510494621766968,0.5387697818585677,0.510055973090269,0.5192466635071228,0.4970269318792098,0.5233304378802732,0.48842732940207484,0.4988489167084739,0.506124291456972,0.5216613027538888,0.5154567325871592,0.49871162112545697,0.48941885520901246,0.4553508870884875,0.4921344099503781,0.5097302000814653,0.4877344840846598,0.543492504252452,0.5266561524078381,0.48194226991469585,0.4907582604593312,0.47708373852136277,0.5048522030886483,0.5210705986423005,0.482949937599594,0.5206258938441959,0.497210238862079,0.46643094331421536,0.487085689124983,0.5318135444565687,0.47013999093270203,0.5054449921193989,0.5186132354403256,0.5234562459464734,0.4985939515171613,0.5336411673229917,0.5075571810276969,0.5157103149059203,0.4917096664469281,0.4986835687260363,0.494323880836836,0.4966985215819171,0.4761355868752123,0.4810467461326939,0.4913683289466057,0.4920458191171309,0.48896476221501195,0.4832058757485089,0.4874486676430229,0.48420710503465886,0.4693167890620039,0.46408090702833815,0.49347571679688956,0.4906799638868503,0.5139495645267373,0.5031453162471672,0.4931510157815877,0.45556293190057134
83,349839.0,343639.0,0.49644755657145445,0.4780306974344328,0.4911892053812643,0.5103878559062913,0.5049921579755853,0.49565542082357456,0.52574000344834,0.5269094363620851,0.5070472616781149,0.5081484463556778,0.5050656949573127,0.47467807798507755,0.4730874061516566,0.5120362914424378,0.5187831399100628,0.49969225794807176,0.47971269454657756,0.4976429944119618,0.5064406455141671,0.4870453930607823,0.508319499912305,0.5019200445914412,0.5103063280906982,0.4828338527599869,0.509568823823227,0.4762446795927536,0.47833845196554003,0.500204508168796,0.49851208129368163,0.5057633767102373,0.48652612548290836,0.47897624993451743,0.5038271503165785,0.4901040658770641,0.5284443120423888,0.4911637280066652,0.4986979752711932,0.5225880592034285,0.48284519980281687,0.48877913237661563,0.4858114461416227,0.5080452776304374,0.4836519268380337,0.5072509990938979,0.5139093805048001,0.5023907187355865,0.5249023038053156,0.5035607105196579,0.49129110500340273,0.4872426607809205,0.5284010484114088,0.4878829756261787,0.5043050756308116,0.5021706122431634,0.4940990099100431,0.4788561964076388,0.508704998901761,0.5027884492621556
84,366599.0,360639.0,0.48146252466239375,0.478781528304764,0.5030129925736548,0.4813838625283352,0.4788624112703174,0.4882146373803348,0.48500813319327396,0.49048320019625824,0.48205161754437087,0.4956349002496957,0.4988452646391417,0.4907959397714882,0.48833283185384346,0.4861094726540603,0.4721206895943412,0.510682605825533,0.506561473854822,0.4892660075833956,0.5115789982088568,0.48873364238537564,0.5107853237833253,0.5005249404149712,0.5045696269017476,0.49573885198550255,0.5032833481832824,0.49260017787957905,0.49504814224756777,0.45301251877849874,0.4915250590467191,0.4795708303585622,0.47807583980078944,0.4793948753053964,0.5172492581215767,0.5025034223829775,0.48823554915512146,0.509272192035081,0.5082239539492248,0.5326988422237386,0.4897302650519903,0.4975466606421989,0.4833083327287831,0.4868080211203156,0.4942065665892441,0.4840118288520185,0.4808899976971472,0.502413638631665,0.5127037295923895,0.4899052430448361,0.48527647534955237,0.5057441755437069,0.5144022589529713,0.5306731735838253,0.48865236538320417,0.4711399425371107,0.5050237901755232,0.478632973664304,0.5086187428683298,0.49321404638167854
85,360199.0,356479.0,0.5212114709620664,0.4768195743784409,0.5165463621246391,0.5077358439651328,0.5128600709357685,0.49604120869778673,0.5047523949392742,0.5218103710806296,0.5011277922469874,0.4922901218173008,0.5308970037768046,0.4934203519913675,0.4928904479157622,0.537992185348035,0.4873597044031912,0.4590304992209134,0.5203298539256844,0.5314092055389691,0.5076399919783372,0.49323173923391245,0.5086382888098513,0.49048498525340656,0.4754435454016199,0.504659075606132,0.5053030849564649,0.492090224341615,0.5135356284902762,0.5036942413054579,0.5150577768128672,0.495145238795904,0.5257885615127464,0.4775690671879571,0.4882085402799101,0.48794421776466973,0.5071645112668142,0.4725922699924801,0.5258437428879291,0.5554839181634837,0.5255395575817815,0.5214887559356823,0.5130564388097894,0.5131067856972654,0.52685981303759,0.5092735847630365,0.5035909384369713,0.4819317593275515,0.49882227604370516,0.535393817562255,0.5290769852450574,0.5259775444734984,0.48143903654612374,0.4946937089063823,0.5160452310902961,0.4990561234295016,0.5349133998194868,0.5510848884136098,0.5354156742449986,0.4840427503818258
86,366599.0,360639.0,0.48146252466239375,0.478781528304764,0.5030129925736548,0.4813838625283352,0.4788624112703174,0.4882146373803348,0.48500813319327396,0.49048320019625824,0.48205161754437087,0.4956349002496957,0.4988452646391417,0.4907959397714882,0.48833283185384346,0.4861094726540603,0.4721206895943412,0.510682605825533,0.506561473854822,0.4892660075833956,0.5115789982088568,0.48873364238537564,0.5107853237833253,0.5005249404149712,0.5045696269017476,0.49573885198550255,0.5032833481832824,0.49260017787957905,0.49504814224756777,0.45301251877849874,0.4915250590467191,0.4795708303585622,0.47807583980078944,0.4793948753053964,0.5172492581215767,0.5025034223829775,0.48823554915512146,0.509272192035081,0.5082239539492248,0.5326988422237386,0.4897302650519903,0.4975466606421989,0.4833083327287831,0.4868080211203156,0.4942065665892441,0.4840118288520185,0.4808899976971472,0.502413638631665,0.5127037295923895,0.4899052430448361,0.48527647534955237,0.5057441755437069,0.5144022589529713,0.5306731735838253,0.48865236538320417,0.4711399425371107,0.5050237901755232,0.478632973664304,0.5086187428683298,0.49321404638167854
87,360199.0,356479.0,0.5212114709620664,0.4768195743784409,0.5165463621246391,0.5077358439651328,0.5128600709357685,0.49604120869778673,0.5047523949392742,0.5218103710806296,0.5011277922469874,0.4922901218173008,0.5308970037768046,0.4934203519913675,0.4928904479157622,0.537992185348035,0.4873597044031912,0.4590304992209134,0.5203298539256844,0.5314092055389691,0.5076399919783372,0.49323173923391245,0.5086382888098513,0.49048498525340656,0.4754435454016199,0.504659075606132,0.5053030849564649,0.492090224341615,0.5135356284902762,0.5036942413054579,0.5150577768128672,0.495145238795904,0.5257885615127464,0.4775690671879571,0.4882085402799101,0.48794421776466973,0.5071645112668142,0.4725922699924801,0.5258437428879291,0.5554839181634837,0.5255395575817815,0.5214887559356823,0.5130564388097894,0.5131067856972654,0.52685981303759,0.5092735847630365,0.5035909384369713,0.4819317593275515,0.49882227604370516,0.535393817562255,0.5290769852450574,0.5259775444734984,0.48143903654612374,0.4946937089063823,0.5160452310902961,0.4990561234295016,0.5349133998194868,0.5510848884136098,0.5354156742449986,0.4840427503818258
88,364679.0,360599.0,0.47194723575354186,0.492878601446543,0.5166248414998243,0.46298882705313044,0.47657050949619667,0.4814506387282924,0.5099087836559966,0.5062128718934366,0.47618200879915595,0.475330109946591,0.4943719538108308,0.4996351895738511,0.4961975751494683,0.4951424539993941,0.4598012081202495,0.5113526937907933,0.5108192290986204,0.4814923378910433,0.5305749493959855,0.4931336096511024,0.5294733493064478,0.49700443398674304,0.49639701215731247,0.49711596308329076,0.4876138806603594,0.5055109304834413,0.48573224463293063,0.4392926842510627,0.49203889047568794,0.46121855800331096,0.46726643258260325,0.4745488228098558,0.5201953794414373,0.5064531053833077,0.5019149190282516,0.5541582208684785,0.5026917452912228,0.5639900615752304,0.5013746908391026,0.4905629523608005,0.4795022976141311,0.4818634586524014,0.48458984214344714,0.4760349856050981,0.49712113856090906,0.5134568739428366,0.49693750773652656,0.4824402275970527,0.48718034146619443,0.5124326686506868,0.5299064901807881,0.5553102373906316,0.47789574285078584,0.4871958221797908,0.511111028615286,0.48342830955817256,0.5176173152586616,0.5061856718552853
89,366599.0,368079.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,375119.0,368079.0,0.49394472878609724,0.46894954106193626,0.48354836843432863,0.5056564399415729,0.5171946395851118,0.5012153289490081,0.4860470129599145,0.46493682965716077,0.4957004847120799,0.5095451676101599,0.5439112140265994,0.4846694597585637,0.4625742416234545,0.4964640138608273,0.44909755157359355,0.5102988809960187,0.4889376750263155,0.5012134766168299,0.5049548215612002,0.48096721531540654,0.5011771466141033,0.48193125513553947,0.49152129596572613,0.5211310983481019,0.5187980895294314,0.49330623283882524,0.5012312741516581,0.5255728145771666,0.509806150903112,0.4858682530353284,0.5210106260907419,0.5092076684172083,0.5053916648039057,0.481518968066418,0.5052950686573277,0.5206320030032439,0.4709361076865685,0.5441777394586367,0.4989392864013362,0.4927586725662472,0.4665809316085143,0.50516068689723,0.5088487307017361,0.49940951071825607,0.4577122223941996,0.5111400304986461,0.5122391771723894,0.5106799845728539,0.4877952495640263,0.47643772058199935,0.48368610286847435,0.4759983094105366,0.49338613468119064,0.49450325736014955,0.4803617599215268,0.48634390341371925,0.4997845681035296,0.49695327571136166
91,375119.0,376279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
