,cue_end,cue_start,delay_end,delay_start,duration,finger,move_end,move_start
107,437079,435079,560,760,1800,1.0,437639,435839
108,441079,439079,1120,680,2440,2.0,442199,439759
109,445079,443079,4760,1080,5680,4.0,449839,444159
110,449079,447079,760,4960,-2200,4.0,449839,452039
111,453079,451079,1520,880,2640,2.0,454599,451959
112,457079,455079,880,760,2120,5.0,457959,455839
113,461079,459079,520,440,2080,5.0,461599,459519
114,465079,463079,840,560,2280,5.0,465919,463639
115,469079,467079,5640,1320,6320,4.0,474719,468399
116,473079,471079,1640,8920,-5280,5.0,474719,479999
117,477079,475079,1520,760,2760,2.0,478599,475839
118,481079,479079,960,680,2280,3.0,482039,479759
119,485079,483079,840,520,2320,3.0,485919,483599
120,489079,487079,520,520,2000,3.0,489599,487599
121,493079,491079,2000,720,3280,1.0,495079,491799
122,497079,495079,760,720,2040,5.0,497839,495799
123,501079,499079,800,800,2000,1.0,501879,499879
124,505079,503079,8480,560,9920,1.0,513559,503639
125,509079,507079,1080,1200,1880,4.0,510159,508279
126,513079,511079,480,800,1680,1.0,513559,511879
127,517079,515079,280,840,1440,3.0,517359,515919
128,521079,519079,200,560,1640,3.0,521279,519639
129,525079,523079,1440,1000,2440,4.0,526519,524079
130,529079,527079,1200,800,2400,5.0,530279,527879
131,533079,531079,5320,800,6520,2.0,538399,531879
132,537079,535079,1360,800,2560,3.0,538439,535879
133,541079,539079,1160,680,2480,1.0,542239,539759
134,545079,543079,2640,1320,3320,4.0,547719,544399
135,549079,547079,640,840,1800,1.0,549719,547919
136,553079,551079,680,640,2040,2.0,553759,551719
137,557079,555079,920,560,2360,2.0,557999,555639
138,561079,559079,680,760,1920,1.0,561759,559839
139,565079,563079,520,600,1920,1.0,565599,563679
140,569079,567079,1080,1040,2040,3.0,570159,568119
141,573079,571079,1120,880,2240,2.0,574199,571959
142,577079,575079,680,760,1920,1.0,577759,575839
143,581079,579079,560,560,2000,1.0,581639,579639
144,585079,583079,1280,680,2600,2.0,586359,583759
145,589079,587079,720,760,1960,1.0,589799,587839
146,593079,591079,960,680,2280,3.0,594039,591759
147,597079,595079,1560,840,2720,4.0,598639,595919
148,601079,599079,4400,960,5440,2.0,605479,600039
149,605079,603079,400,840,1560,1.0,605479,603919
