,cue_end,cue_start,delay_end,delay_start,duration,finger,move_end,move_start
122,497079,495079,1280,1880,1400,1.0,498359,496959
123,501079,499079,400,800,1600,1.0,501479,499879
124,505079,503079,960,1000,1960,2.0,506039,504079
125,509079,507079,1120,2160,960,3.0,510199,509239
126,513079,511079,80,800,1280,5.0,513159,511879
127,517079,515079,200,800,1400,1.0,517279,515879
128,521079,519079,360,920,1440,2.0,521439,519999
129,525079,523079,160,1000,1160,3.0,525239,524079
130,529079,527079,320,920,1400,5.0,529399,527999
131,533079,531079,600,1120,1480,5.0,533679,532199
132,537079,535079,400,960,1440,1.0,537479,536039
133,541079,539079,160,600,1560,1.0,541239,539679
134,545079,543079,680,1040,1640,1.0,545759,544119
135,549079,547079,1160,1120,2040,4.0,550239,548199
136,553079,551079,8240,1080,9160,1.0,561319,552159
137,557079,555079,8360,9760,600,5.0,565439,564839
138,561079,559079,240,840,1400,1.0,561319,559919
139,565079,563079,880,960,1920,4.0,565959,564039
140,569079,567079,760,1080,1680,2.0,569839,568159
141,573079,571079,40,800,1240,5.0,573119,571879
142,577079,575079,680,760,1920,3.0,577759,575839
143,581079,579079,240,880,1360,1.0,581319,579959
144,585079,583079,120,920,1200,4.0,585199,583999
145,589079,587079,400,1000,1400,2.0,589479,588079
146,593079,591079,520,960,1560,2.0,593599,592039
147,597079,595079,240,560,1680,2.0,597319,595639
148,601079,599079,1160,1040,2120,4.0,602239,600119
149,605079,603079,1600,1040,2560,4.0,606679,604119
