,cue_end,cue_start,delay_end,delay_start,duration,finger,move_end,move_start
101,413079,411079,240,640.0,1600.0,1.0,413319,411719.0
102,417079,415079,120,640.0,1480.0,5.0,417199,415719.0
103,421079,419079,200,640.0,1560.0,2.0,421279,419719.0
104,425079,423079,240,640.0,1600.0,2.0,425319,423719.0
105,429079,427079,240,800.0,1440.0,4.0,429319,427879.0
106,433079,431079,320,640.0,1680.0,1.0,433399,431719.0
107,437079,435079,160,760.0,1400.0,4.0,437239,435839.0
108,441079,439079,280,640.0,1640.0,5.0,441359,439719.0
109,445079,443079,360,680.0,1680.0,1.0,445439,443759.0
110,449079,447079,280,640.0,1640.0,1.0,449359,447719.0
111,453079,451079,1120,760.0,2360.0,3.0,454199,451839.0
112,457079,455079,840,1080.0,1760.0,4.0,457919,456159.0
113,461079,459079,1120,1120.0,2000.0,1.0,462199,460199.0
114,465079,463079,1280,1280.0,2000.0,2.0,466359,464359.0
115,469079,467079,1320,800.0,2520.0,3.0,470399,467879.0
116,473079,471079,4680,1920.0,4760.0,3.0,477759,472999.0
117,477079,475079,680,,,3.0,477759,
118,481079,479079,80,600.0,1480.0,1.0,481159,479679.0
119,485079,483079,240,640.0,1600.0,2.0,485319,483719.0
120,489079,487079,200,600.0,1600.0,5.0,489279,487679.0
121,493079,491079,440,880.0,1560.0,4.0,493519,491959.0
122,497079,495079,280,680.0,1600.0,2.0,497359,495759.0
123,501079,499079,200,680.0,1520.0,1.0,501279,499759.0
124,505079,503079,200,560.0,1640.0,2.0,505279,503639.0
125,509079,507079,240,520.0,1720.0,2.0,509319,507599.0
126,513079,511079,200,600.0,1600.0,1.0,513279,511679.0
127,517079,515079,640,600.0,2040.0,5.0,517719,515679.0
128,521079,519079,1480,1720.0,1760.0,4.0,522559,520799.0
129,525079,523079,1040,920.0,2120.0,2.0,526119,523999.0
130,529079,527079,680,680.0,2000.0,4.0,529759,527759.0
