,end_time,start_time,rdsym_elec18,rdsym_elec24,rdsym_elec32,rdsym_elec26,rdsym_elec27,rdsym_elec33,rdsym_elec17,rdsym_elec25,rdsym_elec1,rdsym_elec10,rdsym_elec2,rdsym_elec9,rdsym_elec11,rdsym_elec12,rdsym_elec13,rdsym_elec14,rdsym_elec15,rdsym_elec19,rdsym_elec20,rdsym_elec21,rdsym_elec22,rdsym_elec23,rdsym_elec28,rdsym_elec29,rdsym_elec3,rdsym_elec30,rdsym_elec31,rdsym_elec34,rdsym_elec35,rdsym_elec36,rdsym_elec37,rdsym_elec4,rdsym_elec5,rdsym_elec6,rdsym_elec7,rdsym_elec0,rdsym_elec16,rdsym_elec8
92,381199.0,380879.0,0.5552294170356314,0.4644678839696198,0.46587258123402703,0.517035236294468,0.5162500667562226,0.5394443883900043,0.5734594202315199,0.559164075574925,0.5265834988644873,0.5852543609346802,0.5325008526970051,0.5973186606522739,0.4865457553145012,0.5594844715294756,0.6204148701302269,0.6420881427729743,0.6258221950934281,0.5924824247495055,0.5780457422145534,0.6217379975311678,0.7137360581340785,0.5676086271829306,0.5675302705967382,0.476935209964648,0.4835295461345881,0.6134804071371236,0.5548708511788478,0.436204274613067,0.5775169152954547,0.4630446773303916,0.5834089278104426,0.5938634393783896,0.516311357523982,0.620810216067042,0.6501231509356209,0.5050121928664716,0.5997246968186355,0.4599375692102847
93,381239.0,380159.0,0.46178091918176245,0.5404933857266984,0.5550991030663027,0.543423825551931,0.4952441204713346,0.4333994866099042,0.5545145795747033,0.5251977402378306,0.4887038483637852,0.5321895079649978,0.49388096726476205,0.5161615911102797,0.5217076093501225,0.5180109819495455,0.5110535461271365,0.4523668438620365,0.4888126898683076,0.5181953235852955,0.49618795181935793,0.47005653256608715,0.4389824998221115,0.4514303247102226,0.5126499310623733,0.3717848517340137,0.4687042517152568,0.5189895266462112,0.5253216570511021,0.4325446612078835,0.5158866822024014,0.4559946346730477,0.4899586106611794,0.47885226527278607,0.45000861418733185,0.4986552120165144,0.5125936155050931,0.529622914715651,0.6152348218645415,0.502078657515739
94,386439.0,386039.0,0.47145680108535815,0.5381363444772582,0.611934519927705,0.5121069456814717,0.4606264609958117,0.41407507561742707,0.4561334160419526,0.46642300262890163,0.41639222404393067,0.5294026036135075,0.45981736517660043,0.5027018386763249,0.45785679469801854,0.433287623590463,0.5447725664372886,0.5495890275302039,0.4705215850106959,0.5429783009283408,0.5499533983982484,0.5040816588476348,0.6192161552211778,0.5680313365865828,0.48501188035022624,0.6329618076930698,0.5198261441442371,0.513735892667446,0.5749167910573936,0.4371816442749867,0.44112434205016526,0.506365787988356,0.548220419225687,0.46206913294490115,0.4558938120702827,0.33485213812870773,0.33197547423180473,0.4030707640007157,0.4456572600781339,0.5043047654650368
95,431239.0,431039.0,0.3905097250167673,0.4596166770057899,0.2732270478284772,0.571170615423809,0.4668956537839016,0.5011320278307709,0.520672268907563,0.6238248847926268,0.6349158982622621,0.5972945500039095,0.47292253018568803,0.41420427735392346,0.481609595456056,0.5179896689858738,0.46383195180308257,0.44900354900354894,0.4924652461965895,0.5594925242824402,0.6239915042940252,0.679326530612245,0.8076962676962678,0.7458996747132339,0.43583671399594326,0.5398833455522563,0.38437531110004974,0.6442460317460318,0.46293380976896803,0.5587552715099344,0.566705486542443,0.609174201533331,0.630415895171628,0.5252159784927384,0.5253852872848743,0.5118169954258495,0.5120389802735237,0.4653443649373882,0.5231473446719889,0.49673311184939095
96,431559.0,430519.0,0.536113335903338,0.46248594566556617,0.48892937462452224,0.482878747253951,0.470370966021108,0.42649404025253423,0.5431723350096119,0.5139101633248885,0.5150260006349661,0.54497567874347,0.5117528172869259,0.5040007206154842,0.48663830105706424,0.5041405779099143,0.542720021247411,0.595139345128126,0.5064079081058789,0.48392629459187253,0.46993595867302645,0.5951122185921397,0.6491840325864935,0.5557938287911528,0.49722705062415756,0.5225421762235248,0.4882064939957294,0.5134749744593219,0.5232007781671912,0.42464376156211026,0.5102128487676987,0.5011833403698399,0.5968735556513568,0.522666458321347,0.5061369164199533,0.55962171967442,0.552864519855241,0.5001527190132874,0.5057838286295714,0.45235356298702944
97,431239.0,431039.0,0.3905097250167673,0.4596166770057899,0.2732270478284772,0.571170615423809,0.4668956537839016,0.5011320278307709,0.520672268907563,0.6238248847926268,0.6349158982622621,0.5972945500039095,0.47292253018568803,0.41420427735392346,0.481609595456056,0.5179896689858738,0.46383195180308257,0.44900354900354894,0.4924652461965895,0.5594925242824402,0.6239915042940252,0.679326530612245,0.8076962676962678,0.7458996747132339,0.43583671399594326,0.5398833455522563,0.38437531110004974,0.6442460317460318,0.46293380976896803,0.5587552715099344,0.566705486542443,0.609174201533331,0.630415895171628,0.5252159784927384,0.5253852872848743,0.5118169954258495,0.5120389802735237,0.4653443649373882,0.5231473446719889,0.49673311184939095
98,401279.0,401279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,431559.0,430519.0,0.536113335903338,0.46248594566556617,0.48892937462452224,0.482878747253951,0.470370966021108,0.42649404025253423,0.5431723350096119,0.5139101633248885,0.5150260006349661,0.54497567874347,0.5117528172869259,0.5040007206154842,0.48663830105706424,0.5041405779099143,0.542720021247411,0.595139345128126,0.5064079081058789,0.48392629459187253,0.46993595867302645,0.5951122185921397,0.6491840325864935,0.5557938287911528,0.49722705062415756,0.5225421762235248,0.4882064939957294,0.5134749744593219,0.5232007781671912,0.42464376156211026,0.5102128487676987,0.5011833403698399,0.5968735556513568,0.522666458321347,0.5061369164199533,0.55962171967442,0.552864519855241,0.5001527190132874,0.5057838286295714,0.45235356298702944
100,431239.0,431039.0,0.3905097250167673,0.4596166770057899,0.2732270478284772,0.571170615423809,0.4668956537839016,0.5011320278307709,0.520672268907563,0.6238248847926268,0.6349158982622621,0.5972945500039095,0.47292253018568803,0.41420427735392346,0.481609595456056,0.5179896689858738,0.46383195180308257,0.44900354900354894,0.4924652461965895,0.5594925242824402,0.6239915042940252,0.679326530612245,0.8076962676962678,0.7458996747132339,0.43583671399594326,0.5398833455522563,0.38437531110004974,0.6442460317460318,0.46293380976896803,0.5587552715099344,0.566705486542443,0.609174201533331,0.630415895171628,0.5252159784927384,0.5253852872848743,0.5118169954258495,0.5120389802735237,0.4653443649373882,0.5231473446719889,0.49673311184939095
101,431559.0,430519.0,0.536113335903338,0.46248594566556617,0.48892937462452224,0.482878747253951,0.470370966021108,0.42649404025253423,0.5431723350096119,0.5139101633248885,0.5150260006349661,0.54497567874347,0.5117528172869259,0.5040007206154842,0.48663830105706424,0.5041405779099143,0.542720021247411,0.595139345128126,0.5064079081058789,0.48392629459187253,0.46993595867302645,0.5951122185921397,0.6491840325864935,0.5557938287911528,0.49722705062415756,0.5225421762235248,0.4882064939957294,0.5134749744593219,0.5232007781671912,0.42464376156211026,0.5102128487676987,0.5011833403698399,0.5968735556513568,0.522666458321347,0.5061369164199533,0.55962171967442,0.552864519855241,0.5001527190132874,0.5057838286295714,0.45235356298702944
