,cue_end,cue_start,delay_end,delay_start,duration,finger,move_end,move_start
120,489079,487079,2240,720,3520,3.0,491319,487799
121,493079,491079,1760,1080,2680,2.0,494839,492159
122,497079,495079,880,1280,1600,4.0,497959,496359
123,501079,499079,1160,400,2760,2.0,502239,499479
124,505079,503079,640,680,1960,2.0,505719,503759
125,509079,507079,1040,1080,1960,4.0,510119,508159
126,513079,511079,1040,1240,1800,2.0,514119,512319
127,517079,515079,560,880,1680,3.0,517639,515959
128,521079,519079,920,1040,1880,3.0,521999,520119
129,525079,523079,5640,1560,6080,4.0,530719,524639
130,529079,527079,1640,37240,-33600,4.0,530719,564319
131,533079,531079,5040,880,6160,1.0,538119,531959
132,537079,535079,1040,16800,-13760,1.0,538119,551879
133,541079,539079,440,1040,1400,2.0,541519,540119
134,545079,543079,680,600,2080,2.0,545759,543679
135,549079,547079,1280,920,2360,3.0,550359,547999
136,553079,551079,1000,800,2200,1.0,554079,551879
137,557079,555079,960,1800,1160,3.0,558039,556879
138,561079,559079,520,880,1640,2.0,561599,559959
139,565079,563079,1440,1200,2240,5.0,566519,564279
140,569079,567079,440,1080,1360,2.0,569519,568159
141,573079,571079,1000,1160,1840,1.0,574079,572239
142,577079,575079,2280,1040,3240,5.0,579359,576119
143,581079,579079,1600,1480,2120,4.0,582679,580559
144,585079,583079,3000,1080,3920,4.0,588079,584159
145,589079,587079,1080,1640,1440,5.0,590159,588719
146,593079,591079,1280,920,2360,1.0,594359,591999
147,597079,595079,1040,1040,2000,3.0,598119,596119
148,601079,599079,2280,1080,3200,5.0,603359,600159
149,605079,603079,2400,1600,2800,4.0,607479,604679
