,amp_mean,average rdsym,oscillating_amp,oscillating_amp_time,period,ptsym_time,rdsym_time,sample,sample_lastE,sample_nextE,sample_zeroxD,sample_zeroxR,subject,trough_sharp,trough_time,trough_volt,whole_decay_time,whole_rise_time,whole_rise_volt
37,1379.4577458204974,0.5384615384615384,False,False,66,21,-16,11241,11216,11282,11224,11248,bp,176.52521008403357,24,-711.0,25,41,3337.0
38,656.6132460546427,0.5384615384615384,False,False,50,7,2,11308,11282,11332,11293,11327,bp,23.485964912280703,34,1145.0,26,24,1834.0
39,1315.3584909841784,-2.72972972972973,False,False,55,8,-7,14290,14266,14321,14278,14301,bp,125.96969696969695,23,-961.0,24,31,2158.0
40,464.29395438129797,-2.72972972972973,False,False,41,26,-3,14340,14321,14362,14332,14346,bp,96.70833333333334,14,261.0,19,22,1653.0
41,384.9092446103588,-2.72972972972973,True,False,103,-24,7,14417,14362,14465,14386,14447,bp,35.825806451612905,61,-477.0,55,48,1970.0
42,524.7260899756881,-2.72972972972973,True,False,50,-5,12,14496,14465,14515,14484,14508,bp,76.58333333333334,24,-998.0,31,19,1261.0
43,287.0700624756622,-2.72972972972973,True,True,67,13,-17,14540,14515,14582,14527,14557,bp,46.74660633484163,30,-926.0,25,42,1984.0
44,266.452921810584,-2.72972972972973,False,False,36,5,16,14608,14582,14618,14600,14612,bp,159.8125,12,-1657.0,26,10,1274.0
45,1160.5676932042295,-2.72972972972973,False,False,47,18,-9,14637,14618,14665,14629,14646,bp,199.52777777777774,17,-2951.0,19,28,4744.0
46,1848.2304462117895,-2.72972972972973,True,True,50,17,0,14690,14665,14715,14681,14696,bp,264.52777777777777,15,-2047.0,25,25,4358.0
47,1684.6201649944546,-2.72972972972973,True,True,50,14,-6,14737,14715,14765,14728,14744,bp,229.2936507936508,16,-2300.0,22,28,2871.0
48,1791.1317463343198,-2.72972972972973,True,True,50,7,-10,14785,14765,14815,14774,14793,bp,209.3636363636364,19,-3679.0,20,30,4134.0
49,1194.77208671854,-2.72972972972973,True,False,50,7,-32,14824,14815,14865,14819,14846,bp,144.22727272727272,27,-1754.0,9,41,2962.0
50,1316.547774146399,-2.72972972972973,True,False,66,7,-14,14891,14865,14931,14880,14904,bp,158.70979020979019,24,-2452.0,26,40,3919.0
51,2026.9408398506039,-2.72972972972973,True,False,35,7,-5,14946,14931,14966,14935,14958,bp,195.70454545454544,23,-2224.0,15,20,4955.0
52,1268.3819877559442,-2.72972972972973,False,False,66,21,16,15007,14966,15032,14988,15013,bp,144.13157894736844,25,-2018.0,41,25,1917.0
53,713.7166815775612,-2.72972972972973,True,False,66,-8,16,15073,15032,15098,15059,15085,bp,117.89285714285714,26,-2591.0,41,25,2472.0
54,329.49515137590095,-2.72972972972973,True,False,34,39,-14,15108,15098,15132,15103,15113,bp,173.39999999999995,10,-1762.0,10,24,2384.0
55,466.2015904643551,-2.72972972972973,True,False,50,3,32,15173,15132,15182,15162,15177,bp,150.0340909090909,15,-1724.0,41,9,1993.0
56,603.4657946985998,-2.72972972972973,True,True,54,-1,0,15209,15182,15236,15195,15224,bp,66.53333333333333,29,-1416.0,27,27,1648.0
57,668.8465207630377,-2.72972972972973,True,True,46,-2,-2,15258,15236,15282,15252,15270,bp,110.625,18,-2033.0,22,24,1496.0
58,222.89315667541413,-2.72972972972973,False,False,31,0,1,14294,14278,14309,14289,14304,bp,92.35,15,1245.0,16,15,1696.0
59,483.223728756591,-2.72972972972973,True,False,45,28,-15,14324,14309,14354,14319,14329,bp,282.1,10,881.0,15,30,3552.0
60,891.1178392035819,-2.72972972972973,True,True,62,-26,14,14392,14354,14416,14367,14411,bp,56.26631578947368,44,2380.0,38,24,3118.0
61,1869.6810534808767,-2.72972972972973,True,True,50,-5,-2,14440,14416,14466,14429,14459,bp,162.83971291866033,30,260.0,24,26,3188.0
62,770.2436790834416,-2.72972972972973,True,True,61,3,-11,14491,14466,14527,14484,14507,bp,196.86160714285717,23,-235.0,25,36,2579.0
63,1159.9724743117845,-2.72972972972973,True,True,44,13,-18,14540,14527,14571,14533,14554,bp,184.35714285714286,21,-767.0,13,31,3248.0
64,983.9161151655467,-2.72972972972973,True,True,64,9,-2,14602,14571,14635,14588,14609,bp,146.89285714285714,21,-808.0,31,33,2318.0
65,597.6590509004917,-2.72972972972973,False,False,43,-4,-21,14646,14635,14678,14639,14663,bp,78.40336134453781,24,338.0,11,32,2642.0
66,956.1106824225667,-2.72972972972973,True,True,38,-3,-12,14691,14678,14716,14683,14709,bp,100.03472222222223,26,887.0,13,25,2347.0
67,190.76529701706212,-2.72972972972973,False,False,63,-22,21,14758,14716,14779,14732,14769,bp,38.346153846153854,37,651.0,42,21,1052.0
68,613.6174986202436,-2.72972972972973,False,False,36,11,18,14806,14779,14815,14784,14810,bp,126.23863636363636,26,-770.0,27,9,1923.0
69,582.459985544083,-2.72972972972973,True,False,116,-3,4,14875,14815,14931,14847,14894,bp,70.03853383458647,47,-1282.0,60,56,3815.0
70,1324.1316545151258,-2.72972972972973,True,False,51,21,-11,14951,14931,14982,14938,14958,bp,142.6868131868132,20,-150.0,20,31,2447.0
71,1023.4387599414923,-2.72972972972973,True,False,67,-10,-15,15008,14982,15049,14999,15034,bp,142.14529914529916,35,-1626.0,26,41,2489.0
72,960.0091037109115,-2.72972972972973,True,False,39,2,5,15071,15049,15088,15059,15078,bp,147.05952380952382,19,-2069.0,22,17,2361.0
73,976.6671352133001,-2.72972972972973,True,False,59,4,-19,15108,15088,15147,15099,15126,bp,95.47222222222223,27,-1544.0,20,39,2381.0
74,688.3545510684042,-2.72972972972973,True,False,69,-5,-13,15175,15147,15216,15157,15192,bp,72.58333333333334,35,-2077.0,28,41,2701.0
75,602.6210644307934,-2.72972972972973,True,False,33,22,-5,15230,15216,15249,15222,15234,bp,186.9375,12,-1486.0,14,19,1964.0
76,1927.9896300147198,1.1714285714285715,True,True,63,21,27,18226,18181,18244,18202,18231,bp,223.20416666666665,29,596.0,45,18,3394.0
77,2055.455835409296,1.1714285714285715,True,True,85,-6,13,18293,18244,18329,18281,18318,bp,140.04333333333332,37,664.0,49,36,5576.0
78,1090.619644526054,1.1714285714285715,False,False,102,-6,10,18385,18329,18431,18349,18401,bp,122.23263888888887,52,-822.0,56,46,2947.0
79,428.00000741805087,1.1714285714285715,False,False,34,13,16,18456,18431,18465,18447,18459,bp,152.77777777777774,12,-305.0,25,9,1261.0
80,996.358180512296,1.1714285714285715,False,False,45,21,7,18491,18465,18510,18484,18495,bp,340.2857142857143,11,-3049.0,26,19,2904.0
81,616.3928907698019,1.1714285714285715,True,True,38,0,20,18539,18510,18548,18527,18544,bp,75.68333333333331,17,-1782.0,29,9,1822.0
82,334.981645365294,1.1714285714285715,False,False,33,-1,23,18576,18548,18581,18561,18578,bp,109.53333333333332,17,-1758.0,28,5,661.0
83,445.0653685007026,1.1714285714285715,False,False,68,21,-16,18607,18581,18649,18594,18628,bp,117.90476190476191,34,-3328.0,26,42,4023.0
84,677.1946853087761,1.1714285714285715,True,True,82,-11,34,18707,18649,18731,18683,18723,bp,49.65625,40,-2150.0,58,24,3083.0
85,1806.2684008875635,1.1714285714285715,False,False,83,-3,-7,18769,18731,18814,18752,18786,bp,143.67647058823533,34,-4466.0,38,45,4021.0
86,450.07606028120034,1.1714285714285715,False,False,51,16,-31,18824,18814,18865,18817,18842,bp,77.10714285714286,25,-1868.0,10,41,1277.0
87,223.31438396658098,1.1714285714285715,True,False,33,7,17,18890,18865,18898,18883,18894,bp,158.71428571428572,11,-2385.0,25,8,1774.0
88,552.9823342374416,1.1714285714285715,True,True,51,5,-1,18923,18898,18949,18912,18929,bp,122.55303030303033,17,-2985.0,25,26,2033.0
89,134.41970580004568,1.1714285714285715,True,True,33,-2,-19,18956,18949,18982,18951,18970,bp,112.95714285714287,19,-2227.0,7,26,1267.0
90,353.20382982485944,1.1714285714285715,False,False,54,-14,-4,19007,18982,19036,18987,19019,bp,66.55833333333334,32,-2005.0,25,29,1830.0
91,94.26127023343635,1.1714285714285715,False,False,45,29,-33,19042,19036,19081,19037,19058,bp,38.65625,21,-486.0,6,39,859.0
92,658.2107341010319,1.1714285714285715,False,False,84,-5,34,19140,19081,19165,19108,19150,bp,79.54375,42,-2948.0,59,25,2339.0
93,1085.526252227708,1.1714285714285715,True,True,71,-5,-9,18211,18180,18251,18190,18230,bp,92.90852130325813,40,1725.0,31,40,2543.0
94,910.3441527922224,1.1714285714285715,True,False,107,13,-57,18276,18251,18358,18265,18309,bp,122.24242424242424,44,907.0,25,82,5076.0
95,2107.249600744652,1.1714285714285715,True,False,52,9,-8,18380,18358,18410,18366,18390,bp,173.32142857142856,24,851.0,22,30,3406.0
96,2265.779466977441,1.1714285714285715,True,True,50,9,-2,18434,18410,18460,18423,18448,bp,199.49350649350646,25,-669.0,24,26,5032.0
97,1923.0545738805747,1.1714285714285715,True,True,56,-13,6,18491,18460,18516,18482,18508,bp,239.10130718954247,26,-1819.0,31,25,4603.0
98,728.3039933418958,1.1714285714285715,False,False,52,-2,0,18542,18516,18568,18521,18550,bp,67.44047619047619,29,332.0,26,26,1315.0
99,385.702452626634,1.1714285714285715,False,False,30,11,12,18589,18568,18598,18577,18592,bp,138.16666666666666,15,-1031.0,21,9,1273.0
100,722.2765750168743,1.1714285714285715,True,False,83,30,-33,18623,18598,18681,18618,18642,bp,165.59473684210525,24,-2061.0,25,58,3605.0
101,1417.1343628159975,1.1714285714285715,True,True,66,3,-14,18707,18681,18747,18696,18727,bp,144.6409090909091,31,-2153.0,26,40,5021.0
102,1635.463457034467,1.1714285714285715,False,False,47,5,5,18773,18747,18794,18761,18778,bp,160.4,17,-1970.0,26,21,1142.0
103,705.3816827445979,1.1714285714285715,False,False,38,-12,-10,18808,18794,18832,18800,18825,bp,61.25,25,-1166.0,14,24,3215.0
104,974.179538301712,1.1714285714285715,True,False,50,21,-2,18856,18832,18882,18838,18867,bp,83.14141414141416,29,30.0,24,26,2260.0
105,546.531246912921,1.1714285714285715,True,False,100,-17,48,18956,18882,18982,18917,18960,bp,164.30448717948718,43,-1387.0,74,26,2771.0
106,687.8954684771422,1.1714285714285715,True,False,46,-9,4,19007,18982,19028,18986,19014,bp,85.52380952380952,28,-629.0,25,21,1598.0
107,783.0916136103324,1.1714285714285715,True,True,37,-9,-13,19040,19028,19065,19033,19058,bp,121.69444444444444,25,-1078.0,12,25,2209.0
108,784.2452058345317,1.1714285714285715,True,True,35,-7,15,19090,19065,19100,19074,19095,bp,121.23125,21,-1682.0,25,10,2046.0
109,504.8505574828982,1.1714285714285715,False,False,38,-6,8,19123,19100,19138,19109,19132,bp,84.1388888888889,23,-784.0,23,15,2169.0
110,363.74349734280503,1.1714285714285715,False,False,33,8,1,19155,19138,19171,19149,19162,bp,131.64285714285714,13,521.0,17,16,2483.0
111,525.5639208845333,2.8529411764705883,False,False,98,-26,10,22369,22315,22413,22332,22390,bp,63.97619047619048,58,742.0,54,44,3754.0
112,651.3267687202223,2.8529411764705883,False,False,34,16,10,22435,22413,22447,22422,22442,bp,58.34065934065934,20,2894.0,22,12,1785.0
113,1203.3101739031952,2.8529411764705883,False,False,98,3,20,22506,22447,22545,22478,22512,bp,134.57142857142856,34,-362.0,59,39,2772.0
114,1132.6484068299926,2.8529411764705883,True,False,47,31,-25,22556,22545,22592,22549,22575,bp,131.1390977443609,26,324.0,11,36,3170.0
115,696.0664769203149,2.8529411764705883,False,False,73,-5,55,22656,22592,22665,22632,22660,bp,109.52083333333334,28,142.0,64,9,1500.0
116,841.9906666395874,2.8529411764705883,False,False,83,18,-25,22694,22665,22748,22683,22718,bp,76.89015151515152,35,-144.0,29,54,3931.0
117,1231.082449398264,2.8529411764705883,True,True,66,22,16,22789,22748,22814,22771,22800,bp,143.16161616161617,29,-25.0,41,25,3041.0
118,912.0433849471933,2.8529411764705883,True,True,96,-5,20,22872,22814,22910,22851,22891,bp,64.67543859649122,40,200.0,58,38,2299.0
119,1012.0051198182016,2.8529411764705883,True,True,71,-3,13,22952,22910,22981,22926,22961,bp,113.72008547008545,35,-829.0,42,29,2800.0
120,310.662177689335,2.8529411764705883,True,True,50,-25,-2,23005,22981,23031,22993,23027,bp,49.72727272727273,34,409.0,24,26,1821.0
121,930.6696915811168,2.8529411764705883,True,True,66,8,-18,23055,23031,23097,23036,23072,bp,82.0,36,-193.0,24,42,3466.0
122,1866.1489492642067,2.8529411764705883,True,True,53,7,5,23126,23097,23150,23116,23138,bp,163.20833333333331,22,-329.0,29,24,3604.0
123,1773.0847000772271,2.8529411764705883,True,True,81,-13,-1,23190,23150,23231,23167,23209,bp,154.22196796338673,42,-2767.0,40,41,6898.0
124,1534.964662851115,2.8529411764705883,False,False,49,5,3,23257,23231,23280,23238,23261,bp,147.4013157894737,23,441.0,26,23,1702.0
125,245.94876909453203,2.8529411764705883,True,False,34,-12,18,23306,23280,23314,23289,23309,bp,120.81372549019608,20,577.0,26,8,1572.0
126,812.9328663156081,2.8529411764705883,False,False,84,6,36,22357,22297,22381,22342,22367,bp,94.1,25,-1845.0,60,24,1622.0
127,447.8610675338344,2.8529411764705883,False,False,66,-10,18,22423,22381,22447,22398,22430,bp,138.43142857142857,32,-1610.0,42,24,3666.0
